,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
0,HERITAGE HALL NORTH NURSING HOME,55 COOPER ST,AGAWAM,MA,1001,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120.0
1,AGAWAM COUNCIL ON AGING SENIOR CENTER,68 MEADOWBROOK MNR,AGAWAM,MA,1001,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
2,CENTER FOR EXTENDED CARE-AMHERST,150 UNIVERSITY DR,AMHERST,MA,1002,25015,HAMPSHIRE,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0
3,HAMPSHIRE COLLEGE,893 WEST ST,AMHERST,MA,1002,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,102.0
4,UNIVERSITY OF MASSACHUSETTS,168 WHITMORE,AMHERST,MA,1003,25015,HAMPSHIRE,8000.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PUBLIC,>2000,102.0
5,CENTER FOR LANG-SPEECH-HEAR-UNIV OF MA,715 N PLEASANT ST,AMHERST,MA,1003,25015,HAMPSHIRE,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
6,QUABBIN REGIONAL SCHOOL DISTRICT,872 SOUTH ST,BARRE,MA,1005,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
7,BELCHERTOWN PUBLIC SCHOOLS,PO BOX 841,BELCHERTOWN,MA,1007,25015,HAMPSHIRE,8000.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
8,BELCHERTOWN SENIOR CENTER,60 STATE ST,BELCHERTOWN,MA,1007,25015,HAMPSHIRE,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
9,BRIMFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 172,BRIMFIELD,MA,1010,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
10,COMMUNITY HEALTHCARE-SBSTNC ABUSE SVCS,628 CENTER ST,CHICOPEE,MA,1013,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
11,STEFANIK MEMORIAL SCHOOL,720 MEADOW ST,CHICOPEE,MA,1013,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
12,WILLIMANSETT NURSING HOME CENTER EAST,11 SAINT ANTHONY ST,CHICOPEE,MA,1013,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,82.0
13,OUR LADY OF THE ELMS COLLEGE,291 SPRINGFIELD ST,CHICOPEE,MA,1013,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,501 TO 1000,102.0
14,CHICOPEE SENIOR CENTER,7 VALLEY VIEW CT,CHICOPEE,MA,1020,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
15,LAMBERT-LAVOIE MEMORIAL SCHOOL,91 KENDALL ST,CHICOPEE,MA,1020,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
16,CHICOPEE PUBLIC SCHOOL DISTRICT,180 BROADWAY ST,CHICOPEE,MA,1020,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
17,THE ARBORS KIDS CHILDCARE,999 MEMORIAL DR,CHICOPEE,MA,1020,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
18,BIRCH MANOR REHAB-SKILLED NURSING CENTER,44 NEW LOMBARD RD,CHICOPEE,MA,1020,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65.0
19,WESTOVER JOB CORPS RESIDENTIAL PROGRAM,103 JOHNSON RD,CHICOPEE,MA,1022,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,102.0
20,BOWIE MEMORIAL SCHOOL,80 DARE WAY,CHICOPEE,MA,1022,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,102.0
